composition,band_gap,minimum AtomicVolume,mean AtomicVolume,avg_dev AtomicVolume,range AtomicVolume,mean AtomicWeight,avg_dev AtomicWeight,range AtomicWeight,minimum MolarVolume,mean MolarVolume,avg_dev MolarVolume,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mean CovalentRadius,maximum Density,mean Density,avg_dev Density,range Density,avg_dev Column,maximum Electronegativity,mean Electronegativity,avg_dev Electronegativity,mean ElectronAffinity,avg_dev ElectronAffinity,range ElectronAffinity,avg_dev FirstIonizationEnergy,mean BoilingT,mean MeltingT,avg_dev MeltingT,range MeltingT,minimum ThermalConductivity,avg_dev ThermalConductivity,range ThermalConductivity,mode ThermalConductivity,minimum LogThermalConductivity,mean LogThermalConductivity,avg_dev LogThermalConductivity,range LogThermalConductivity,mode LogThermalConductivity,mean HeatVaporization,range HeatVaporization,mode HeatVaporization,mean HeatFusion,range HeatFusion,mean FusionEnthalpy,avg_dev FusionEnthalpy,mean GSbandgap,minimum GSenergy_pa,mean GSenergy_pa,avg_dev GSenergy_pa,range GSenergy_pa,avg_dev GSestBCClatcnt,mean GSestFCClatcnt,maximum NUnfilled,mean NUnfilled,avg_dev NUnfilled,avg_dev NValence,mean NdValence,avg_dev NdValence,maximum NfUnfilled,mean NpUnfilled,avg_dev NpUnfilled,avg_dev NpValence,maximum ZungerPP-r_sigma,mean ZungerPP-r_sigma
Hg0.7Cd0.3Te1,0.35,21.580025455795,28.829457904013417,5.127230818533779,12.3766632667522,150.86815,34.805295,88.179,13.0,17.1115,3.3485000000000005,163.2,11.2,136.8,13534.0,9154.4,3065.72,7294.0,2.0,2.1,2.0035,0.0965,95.1,95.1,190.2,0.6513513999999995,1006.9055,532.4749999999999,208.7085,488.34,3.0,23.4135,94.0,3.0,0.477121255,0.8582537198,0.3811324647999999,1.5096504789999998,0.477121255,59.72,52.0,48.0,10.42475,15.085,10.42475,6.95525,0.232,-3.14130250667,-1.7800143339299002,1.3612881727401,2.8911969442560004,0.2538665128999999,4.860912142549999,2.0,1.0,1.0,4.969999999999999,10.0,0.0,0.0,1.0,1.0,2.0,2.41,2.01075
Lu1P1,1.3,28.2141218166412,28.86907686235505,0.6549550457138498,1.3099100914276995,102.970281,71.996519,143.993038,17.02,17.4,0.3800000000000008,98.0,96.0,147.0,9841.0,5832.0,4009.0,8018.0,6.0,2.19,1.73,0.4599999999999999,61.0,11.0,22.0,2.530415,2114.25,1126.65,809.35,1618.7,0.236,7.882,15.764,0.236,-0.627087997,0.288515993,0.91560399,1.83120798,-0.627087997,213.7,402.6,12.4,18.595,0.1099999999999994,18.595,0.0549999999999997,0.8125,-5.4005090425,-4.96175453125,0.4387545112500004,0.8775090225000008,0.1521350634999998,4.677741262,9.0,6.0,3.0,6.0,0.5,0.5,0.0,1.5,1.5,1.5,3.37,2.305
Cu3Sb1Se4,0.4,11.8299419318999,21.8145584678499,7.488462401962501,18.3614815118892,78.52975,11.237812499999997,58.214000000000006,7.11,13.150000000000002,4.53,112.125,98.125,126.875,8920.0,6591.625,1772.625,4101.0,2.25,2.55,2.24375,0.3062499999999999,154.8,40.2,91.8,0.90275375,1911.5,869.13625,375.13625,863.77,0.52,185.055,399.48,0.52,-0.283996656,1.006300573875,1.290297229875,2.886056647,-0.283996656,134.0,274.0,26.0,10.91875,13.099999999999998,10.91875,4.22875,0.3995,-4.11736234,-3.630311805,0.1595198949999999,0.6465704299999997,0.4552917735,4.30266337625,3.0,1.75,0.5625,2.25,10.0,0.0,0.0,1.375,1.03125,1.78125,2.04,1.6281249999999998
Pt1Sb2,0.08,15.3604635067342,25.247770131437463,6.591537749802176,14.830959937054898,146.20133333333334,32.58844444444444,73.324,9.09,15.156666666666666,4.044444444444445,185.66666666666663,26.22222222222221,138.0,21090.0,11494.666666666666,6396.888888888888,14393.0,2.222222222222222,2.28,2.1266666666666665,0.1022222222222222,137.23333333333335,45.37777777777779,102.1,0.1557377777777778,2606.0,1282.986666666667,505.60888888888894,1137.62,24.0,21.33333333333333,48.0,24.0,1.380211242,1.53925166,0.2120538906666667,0.477121254,1.380211242,208.66666666666663,422.0,68.0,20.585,2.3850000000000016,20.585,1.0599999999999998,0.0,-6.02850968,-4.754411453333333,0.8493988177777778,1.9111473400000003,0.3879862693333334,4.649854911333333,3.0,2.6666666666666665,0.4444444444444445,4.0,9.666666666666666,0.4444444444444446,0.0,2.0,1.3333333333333333,1.3333333333333333,2.7,2.0766666666666667
Zn1In2S4,2.68,15.2056837348025,25.148169033466388,2.840710085332538,11.9608620598687,60.468,32.46057142857143,82.753,9.16,14.685714285714283,1.5787755102040817,107.42857142857144,42.775510204081634,118.0,7310.0,4228.571428571428,2592.6530612244896,5350.0,1.6326530612244898,2.58,2.218571428571429,0.4130612244897959,122.54285714285712,88.52244897959183,200.0,1.7879542040816327,1248.697142857143,443.66,71.14857142857139,304.31999999999994,0.205,46.2669387755102,119.795,0.205,-0.688246139,0.450546342,1.3014771211428573,2.767427385,-0.688246139,88.31428571428572,220.2,9.8,2.933428571428572,5.347,2.933428571428572,1.3856326530612242,1.2582857142857142,-4.09721671875,-3.2803529585714286,0.9335585830612247,2.85721680375,0.1625146257142857,4.5388598035714285,5.0,2.571428571428572,1.3877551020408163,3.26530612244898,4.285714285714286,4.8979591836734695,0.0,2.571428571428572,1.3877551020408163,1.6326530612244898,2.05,1.4828571428571429
K2Cd3Te4,2.26,21.580025455795,39.14028451374773,16.31448007525785,54.267839227282906,102.86995555555556,28.342958024691352,88.5017,13.0,23.635555555555555,9.913086419753084,183.11111111111111,27.65432098765432,154.44444444444446,8650.0,5846.888888888889,2218.1728395061727,7794.0,4.592592592592592,2.1,1.6788888888888889,0.3817283950617284,95.28888888888888,84.36543209876542,190.2,1.611615649382716,1136.4444444444443,594.0400000000001,114.44888888888885,386.13,3.0,47.01234567901234,97.0,3.0,0.477121255,1.3187555802222224,0.7481194001975308,1.522878745,0.477121255,71.75555555555555,52.0,48.0,10.313333333333333,15.044999999999998,10.313333333333333,6.281481481481482,0.2062222222222222,-3.14130250667,-1.910756903148889,1.0938183142409876,2.32912828167,0.5065057410864198,5.201663374888889,2.0,1.1111111111111112,0.7901234567901234,4.592592592592592,7.777777777777778,3.45679012345679,0.0,0.8888888888888888,0.9876543209876544,1.9753086419753088,3.69,2.3005555555555555
In1Sb1,0.22,26.0826581603887,28.137040802088897,2.054382641700199,4.108765283400398,118.289,3.471000000000004,6.942000000000007,15.76,16.975,1.2150000000000007,152.5,13.5,140.5,7310.0,7003.5,306.5,613.0,1.0,2.05,1.915,0.1349999999999999,66.05,37.150000000000006,74.30000000000001,1.411015,2102.5,666.765,237.015,474.03,24.0,29.0,58.0,24.0,1.380211242,1.647012547,0.2668013050000001,0.5336026100000002,1.380211242,149.0,162.0,68.0,11.5405,16.499,11.5405,8.2495,0.0,-4.11736234,-3.39208215,0.7252801899999999,1.4505603799999998,0.1671321320000001,4.8059056705,5.0,4.0,1.0,1.0,10.0,0.0,0.0,4.0,1.0,1.0,2.05,1.9075
K2Cu1Nb1S4,2.82,11.8299419318999,36.27424843213217,19.78680812547288,64.017922751178,45.3636225,16.43128375,60.84138,7.11,21.4925,12.22375,149.0,79.0,140.25,8920.0,3380.25,2682.375,8064.0,5.9375,2.58,1.9325,0.6475000000000001,137.6625,62.3375,151.6,2.2841854250000004,1643.985,791.78375,631.0506250000001,2413.4700000000003,0.205,88.610625,399.795,0.205,-0.688246139,0.697683649375,1.385929788375,3.29030613,-0.688246139,147.875,680.2,9.8,6.89425,28.279,6.89425,7.452875,1.101,-10.09332153,-4.044740331457501,1.5646216869281253,8.99578181667,0.662449959375,4.968247879374999,7.0,2.25,1.1875,2.1875,1.75,2.625,0.0,1.0,1.0,2.0,3.69,2.0725
Pr1Te2,1.02,33.9566887225472,34.38418439274983,0.5699942269368444,1.2824870106079018,132.03588333333332,5.914511111111106,13.307649999999995,20.46,20.57333333333333,0.151111111111111,166.0,18.666666666666668,159.66666666666666,6640.0,6373.333333333333,177.7777777777777,400.0,5.777777777777779,2.1,1.7766666666666666,0.4311111111111112,143.46666666666667,62.3111111111111,140.2,1.571822222222223,2028.3333333333333,883.1066666666666,213.92888888888888,481.34,3.0,4.444444444444444,10.0,3.0,0.477121255,0.6893952873333333,0.2830320431111111,0.6368220969999999,0.477121255,142.0,282.0,48.0,13.883333333333333,10.489999999999998,13.883333333333333,4.662222222222222,0.3093333333333333,-4.77382996,-3.685478324446666,0.7255677570355553,1.6325274533299994,0.0158380991111114,5.195729971666666,11.0,5.0,4.0,4.888888888888888,6.666666666666667,4.444444444444444,11.0,1.3333333333333333,0.888888888888889,1.777777777777778,4.48,2.606666666666667
B1As1,1.46,7.29776726528474,14.51086650123137,7.213099235946629,14.426198471893258,42.8663,32.0553,64.1106,4.39,8.67,4.279999999999999,166.0,0.0,101.5,5727.0,4093.5,1633.5,3267.0,1.0,2.18,2.1100000000000003,0.07,52.35,25.65,51.3,0.7452900000000007,2580.0,1719.0,629.0,1258.0,27.0,11.5,23.0,27.0,1.431363764,1.565166884,0.1338031199999999,0.2676062399999999,1.431363764,269.7,474.6,32.4,37.32,25.76,37.32,12.88,0.762,-6.67769815417,-5.664293634585,1.013404519585,2.02680903917,0.5549524835000001,3.760526565,5.0,4.0,1.0,6.0,5.0,5.0,0.0,4.0,1.0,1.0,1.415,1.105
