Model,Error_Type,alpha,R²,RMSE,MAE
Ridge,Train,8.5,0.32776909651900055,0.704262093195401,0.5721002582157384
Ridge,Validation,8.5,0.32351760927031536,0.7155998169729532,0.5866535439389147
Ridge,Train,7.84,0.32779663029744577,0.7042476701787684,0.5720637170624602
Ridge,Validation,7.84,0.3235409551204428,0.715587468957361,0.5866327358717329
Ridge,Train,5.68,0.32787892935209106,0.7042045577114586,0.5719430215988669
Ridge,Validation,5.68,0.3236070142852324,0.7155525279916037,0.5865667128110156
Ridge,Train,2.13,0.32797561597661273,0.7041539049247487,0.5717406242442774
Ridge,Validation,2.13,0.323666317680263,0.7155211589315342,0.5864756651522932
Ridge,Train,6.01,0.3278672486784655,0.7042106768083193,0.571961520463508
Ridge,Validation,6.01,0.3235980878632778,0.7155572495830875,0.586576058015867
Ridge,Train,2.2199999999999998,0.32797399260281357,0.7041547554179277,0.5717457455498255
Ridge,Validation,2.2199999999999998,0.32366584697985146,0.7155214079181322,0.5864775001222612
Ridge,Train,8.33,0.3277762798143081,0.7042583303989587,0.5720907946299971
Ridge,Validation,8.33,0.3235237455744804,0.7155965713983784,0.5866482162666983
Ridge,Train,8.91,0.32775152696843046,0.7042712964970853,0.5721230352757724
Ridge,Validation,8.91,0.3235024772505224,0.7156078204407365,0.5866663035901852
Ridge,Train,2.3899999999999997,0.3279707828526056,0.7041564370181552,0.5717554638371889
Ridge,Validation,2.3899999999999997,0.3236647810634149,0.7155219717560853,0.5864809721945521
Ridge,Train,3.3699999999999997,0.3279489045158316,0.7041678990542495,0.571811650861371
Ridge,Validation,3.3699999999999997,0.3236544554066999,0.7155274336970332,0.586502118393053
Ridge,Train,7.93,0.3277929331919981,0.7042496068503439,0.5720686195279779
Ridge,Validation,7.93,0.32353784887860393,0.715589111913576,0.5866355931836038
Ridge,Train,1.52,0.32798515054668465,0.7041489096978483,0.5717065039146321
Ridge,Validation,1.52,0.32366770293811864,0.7155204261705911,0.5864632932916812
Ridge,Train,8.08,0.32778673003111347,0.7042528562683815,0.5720768275288556
Ridge,Validation,8.08,0.3235326164225575,0.7155918794603846,0.5866403413286457
Ridge,Train,9.23,0.32773758529551533,0.7042785993542479,0.5721405660509239
Ridge,Validation,9.23,0.3234903543612946,0.7156142322864426,0.5866761759790375
Ridge,Train,6.11,0.327863638961463,0.7042125678022007,0.5719671034092016
Ridge,Validation,6.11,0.32359529212399973,0.7155587283706288,0.5865789517017052
Ridge,Train,0.03,0.3279959000543401,0.7041432779142864,0.5716272808632722
Ridge,Validation,0.03,0.3236557890220919,0.7155267282596446,0.5864378231653329
Ridge,Train,2.84,0.32796142242795856,0.7041613409569639,0.5717814745683308
Ridge,Validation,2.84,0.323660891228423,0.7155240293588269,0.5864905344991614
Ridge,Train,8.8,0.32775627386937756,0.7042688099819647,0.5721169524782244
Ridge,Validation,8.8,0.3235065821561527,0.7156056493263357,0.5866628925696326
Ridge,Train,1.49,0.32798555012497443,0.7041487003552578,0.5717048036941819
Ridge,Validation,1.49,0.32366768604483853,0.7155204351066473,0.5864626880504769
Ridge,Train,1.34,0.3279874451949055,0.7041477075105577,0.5716967516641246
Ridge,Validation,1.34,0.32366747582934097,0.7155205463045522,0.5864596668133509
Ridge,Train,5.54,0.3278837738034305,0.7042020198570385,0.5719352188711755
Ridge,Validation,5.54,0.3236106580136673,0.7155506006485802,0.5865627669427577
Ridge,Train,2.57,0.32796718575995476,0.704158321543776,0.5717659167956592
Ridge,Validation,2.57,0.32366340721756115,0.7155226984788461,0.5864846565952267
Ridge,Train,8.18,0.32778256644872905,0.7042550372802546,0.5720823887409757
Ridge,Validation,8.18,0.3235290903128818,0.7155937444816872,0.5866434970715102
Ridge,Train,1.79,0.327981255154859,0.7041509505247245,0.5717216680681545
Ridge,Validation,1.79,0.32366748852189,0.7155205395905623,0.5864687545769061
Ridge,Train,1.1300000000000001,0.32798980257542043,0.7041464724551043,0.5716855843123765
Ridge,Validation,1.1300000000000001,0.3236668203410825,0.7155208930387299,0.58645585055169
Ridge,Train,6.77,0.32783904748250137,0.7042254502105572,0.5720041360366429
Ridge,Validation,6.77,0.3235758412465012,0.7155690166972392,0.5865982689749819
Ridge,Train,8.88,0.32775282393489813,0.704270617122767,0.5721213792310417
Ridge,Validation,8.88,0.32350359998826406,0.7156072266172452,0.5866653741999543
Ridge,Train,0.27,0.3279955347020448,0.704143469327053,0.5716398315089198
Ridge,Validation,0.27,0.3236593650101358,0.7155248366796133,0.5864412353466837
Ridge,Train,1.35,0.32798732425063326,0.7041477708744247,0.5716972798969703
Ridge,Validation,1.35,0.3236674964364056,0.7155205354040132,0.586459867966186
Ridge,Train,0.16,0.32799577373667865,0.7041433440937398,0.5716341033156878
Ridge,Validation,0.16,0.32365781249594705,0.7155256579091583,0.5864396653610884
Ridge,Train,3.67,0.3279411594978673,0.7041719566157592,0.571828375200472
Ridge,Validation,3.67,0.32364998950590984,0.7155297960022793,0.5865095486423051
