Model,Error_Type,n_estimators,learning_rate,max_depth,colsample_bytree,R²,RMSE,MAE
XGBoost,Validation,300,0.05,10,0.5,0.6443260629340339,0.5188812695303926,0.37651418119621405
XGBoost,Validation,300,0.1,10,0.5,0.6439856587172013,0.5191295125310785,0.3744249438397292
XGBoost,Validation,300,0.1,10,0.8,0.6383580811217382,0.5232164083430922,0.3769862851458388
XGBoost,Validation,300,0.05,10,0.7,0.6380708147488985,0.5234241727587328,0.3776524313895384
XGBoost,Validation,100,0.1,10,0.5,0.6375040107570173,0.5238338700959906,0.3806648009281905
XGBoost,Validation,100,0.1,10,1.0,0.6347256440878173,0.5258375121980337,0.3808631168624494
XGBoost,Validation,300,0.05,15,0.7,0.6340741469675126,0.5263062407027718,0.38005704020170833
XGBoost,Validation,300,0.1,7,1.0,0.633897159472709,0.5264335046847567,0.380658393005591
XGBoost,Validation,300,0.1,15,0.5,0.6333004426728515,0.526862351150343,0.3823525237903219
XGBoost,Validation,100,0.1,15,0.5,0.6330563470451653,0.5270376764258065,0.3826825331953459
XGBoost,Validation,300,0.05,10,0.8,0.6323136112033854,0.5275707989973005,0.37807936075443993
XGBoost,Validation,300,0.1,20,0.5,0.6323134334945618,0.5275709264890674,0.38296334083637856
XGBoost,Validation,100,0.1,20,0.5,0.6322600982877588,0.5276091888117945,0.3830156490592034
XGBoost,Validation,100,0.05,15,0.5,0.6311918247747401,0.5283749775930816,0.3838856428110708
XGBoost,Validation,100,0.05,15,0.7,0.6309137189437095,0.5285741549448002,0.38394403406794164
XGBoost,Validation,100,0.1,10,0.8,0.6297444242986262,0.5294107752955721,0.3856804994789862
XGBoost,Validation,300,0.1,7,0.5,0.6290205373298642,0.529928048301468,0.3840500083932822
XGBoost,Validation,100,0.1,10,0.7,0.6280192741409856,0.530642696909118,0.3871853022822572
XGBoost,Validation,300,0.2,6,0.8,0.6276119033740086,0.530933181275885,0.38568556184338976
XGBoost,Validation,100,0.05,20,0.5,0.6268533727333614,0.531473644592334,0.38658623191086194
XGBoost,Validation,300,0.2,10,1.0,0.6256766280233381,0.5323110051125151,0.38371751136749543
XGBoost,Validation,300,0.05,7,0.7,0.6251552200722759,0.5326816132896587,0.3929191805858834
XGBoost,Validation,300,0.1,15,0.7,0.6250078541549876,0.5327863118275977,0.38437239860377015
XGBoost,Validation,100,0.1,15,0.7,0.6246009629880418,0.533075287572362,0.38475281475261536
XGBoost,Validation,300,0.01,15,0.5,0.6245757559495925,0.5330931845598129,0.3960178853498125
XGBoost,Validation,300,0.01,20,0.5,0.6236172427758996,0.5337732832938189,0.3966533956494145
XGBoost,Validation,300,0.1,6,0.5,0.6232235559096746,0.534052367026668,0.3930610958639853
XGBoost,Validation,100,0.05,10,0.5,0.6232011177734161,0.5340682689780321,0.3955497537387751
XGBoost,Validation,300,0.05,15,0.8,0.6219670818577403,0.5349421047625388,0.3860597516552884
XGBoost,Validation,300,0.2,6,0.7,0.6219014026954155,0.534988572969032,0.3885236366183396
XGBoost,Validation,300,0.2,10,0.8,0.6217628443612128,0.5350865901741845,0.38266346322075034
XGBoost,Validation,100,0.2,10,0.8,0.6212195761209534,0.5354707291172995,0.3838735256669909
XGBoost,Validation,300,0.01,15,0.7,0.621190285099417,0.5354914326442799,0.39603876313045305
