Model,Error_Type,alpha,R²,RMSE,MAE
Ridge,Validation,0.001,0.6416163318534861,0.4988945474582656,0.39221476560742374
Ridge,Validation,0.002,0.6416160790869769,0.4988947233923583,0.3922152172181572
Ridge,Validation,0.003,0.6416158262837303,0.49889489935195946,0.39221566872223157
Ridge,Validation,0.004,0.6416155734437763,0.498895075337048,0.3922161201196811
Ridge,Validation,0.005,0.6416153205671428,0.49889525134760476,0.3922165714105414
Ridge,Validation,0.006,0.6416150676538607,0.49889542738360804,0.39221702259484664
Ridge,Validation,0.007,0.6416148147039595,0.4988956034450372,0.39221747367263177
Ridge,Validation,0.008,0.6416145617174678,0.49889577953187253,0.3922179246439322
Ridge,Validation,0.009000000000000001,0.6416143086944159,0.4988959556440926,0.39221837550878197
Ridge,Validation,0.010000000000000002,0.6416140556348329,0.4988961317816775,0.3922188262672164
Ridge,Validation,0.011,0.6416138025387473,0.4988963079446071,0.3922192769192708
Ridge,Validation,0.012,0.6416135494061898,0.4988964841328601,0.3922197274649791
Ridge,Validation,0.013000000000000001,0.6416132962371892,0.49889666034641644,0.3922201779043764
Ridge,Validation,0.014000000000000002,0.641613043031774,0.49889683658525613,0.39222062823749804
Ridge,Validation,0.015,0.6416127897899742,0.49889701284935845,0.3922210784643784
Ridge,Validation,0.016,0.6416125365118206,0.49889718913870185,0.3922215285850507
Ridge,Validation,0.017,0.6416122831973401,0.4988973654532675,0.3922219785995524
Ridge,Validation,0.018000000000000002,0.6416120298465635,0.49889754179303414,0.39222242850791617
Ridge,Validation,0.019000000000000003,0.6416117764595191,0.4988977181579819,0.39222287831017755
Ridge,Validation,0.02,0.641611523036236,0.4988978945480904,0.39222332800637105
Ridge,Validation,0.021,0.6416112695767444,0.4988980709633388,0.3922237775965312
Ridge,Validation,0.022000000000000002,0.6416110160810733,0.4988982474037068,0.3922242270806925
Ridge,Validation,0.023,0.6416107625492506,0.49889842386917477,0.39222467645889064
Ridge,Validation,0.024,0.6416105089813071,0.4988986003597216,0.39222512573115886
Ridge,Validation,0.025,0.6416102553772703,0.49889877687532797,0.3922255748975328
Ridge,Validation,0.026000000000000002,0.6416100017371715,0.498898953415972,0.39222602395804596
Ridge,Validation,0.027000000000000003,0.641609748061037,0.4988991299816355,0.3922264729127344
Ridge,Validation,0.028,0.6416094943488992,0.4988993065722957,0.39222692176163065
Ridge,Validation,0.029,0.6416092406007841,0.4988994831879346,0.3922273705047711
Ridge,Validation,0.030000000000000002,0.641608986816723,0.4988996598285304,0.39222781914218924
Ridge,Validation,0.031,0.6416087329967427,0.49889983649406433,0.3922282676739205
Ridge,Validation,0.032,0.6416084791408734,0.4989000131845153,0.3922287160999985
Ridge,Validation,0.033,0.6416082252491454,0.49890018989986246,0.39222916442045774
Ridge,Validation,0.034,0.6416079713215845,0.4989003666400876,0.3922296126353337
Ridge,Validation,0.035,0.6416077173582226,0.4989005434051685,0.3922300607446596
Ridge,Validation,0.036000000000000004,0.641607463359088,0.4989007201950856,0.39223050874847015
Ridge,Validation,0.037000000000000005,0.6416072093242076,0.49890089700982,0.3922309566468006
Ridge,Validation,0.038,0.6416069552536128,0.49890107384934973,0.39223140443968396
Ridge,Validation,0.039,0.6416067011473316,0.4989012507136555,0.3922318521271558
Ridge,Validation,0.04,0.6416064470053924,0.49890142760271744,0.3922322997092501
Ridge,Validation,0.041,0.6416061928278239,0.49890160451651544,0.39223274718600154
Ridge,Validation,0.042,0.6416059386146562,0.49890178145502867,0.3922331945574435
Ridge,Validation,0.043000000000000003,0.6416056843659166,0.49890195841823803,0.39223364182361137
Ridge,Validation,0.044000000000000004,0.6416054300816354,0.4989021354061224,0.39223408898453893
Ridge,Validation,0.045,0.6416051757618393,0.4989023124186632,0.39223453604026076
Ridge,Validation,0.046,0.6416049214065594,0.49890248945583865,0.3922349829908103
Ridge,Validation,0.047,0.641604667015822,0.4989026665176306,0.3922354298362234
Ridge,Validation,0.048,0.6416044125896583,0.4989028436040172,0.39223587657653286
Ridge,Validation,0.049,0.6416041581280951,0.49890302071497966,0.3922363232117732
Ridge,Validation,0.05,0.6416039036311622,0.4989031978504975,0.3922367697419792
Ridge,Validation,0.051000000000000004,0.641603649098887,0.4989033750105514,0.39223721616718504
Ridge,Validation,0.052000000000000005,0.6416033945313002,0.49890355219512006,0.39223766248742403
Ridge,Validation,0.053000000000000005,0.6416031399284272,0.49890372940418576,0.39223810870273224
Ridge,Validation,0.054,0.6416028852903002,0.4989039066377259,0.3922385548131412
Ridge,Validation,0.055,0.641602630616947,0.4989040838957214,0.3922390008186861
Ridge,Validation,0.056,0.6416023759083942,0.49890426117815356,0.39223944671940164
Ridge,Validation,0.057,0.6416021211646712,0.49890443848500177,0.39223989251532215
Ridge,Validation,0.058,0.6416018663858067,0.49890461581624623,0.39224033820648124
Ridge,Validation,0.059000000000000004,0.6416016115718297,0.4989047931718667,0.3922407837929129
Ridge,Validation,0.060000000000000005,0.6416013567227681,0.4989049705518437,0.39224122927465105
Ridge,Validation,0.061,0.6416011018386505,0.4989051479561572,0.39224167465173015
Ridge,Validation,0.062,0.6416008469195054,0.49890532538478755,0.39224211992418423
Ridge,Validation,0.063,0.6416005919653622,0.49890550283771407,0.3922425650920467
Ridge,Validation,0.064,0.6416003369762464,0.49890568031491894,0.3922430101553528
Ridge,Validation,0.065,0.6416000819521899,0.49890585781638025,0.3922434551141351
Ridge,Validation,0.066,0.6415998268932201,0.49890603534207856,0.39224389996842807
Ridge,Validation,0.067,0.6415995717993643,0.498906212891995,0.39224434471826614
Ridge,Validation,0.068,0.6415993166706506,0.49890639046610996,0.3922447893636831
Ridge,Validation,0.069,0.6415990615071075,0.4989065680644037,0.3922452339047133
Ridge,Validation,0.07,0.6415988063087652,0.49890674568685495,0.3922456783413895
Ridge,Validation,0.07100000000000001,0.6415985510756507,0.49890692333344505,0.3922461226737463
Ridge,Validation,0.07200000000000001,0.6415982958077928,0.4989071010041538,0.39224656690181714
Ridge,Validation,0.07300000000000001,0.6415980405052193,0.49890727869896206,0.3922470110256364
Ridge,Validation,0.074,0.6415977851679562,0.4989074564178514,0.39224745504523884
Ridge,Validation,0.075,0.6415975297960363,0.49890763416079914,0.3922478989606558
Ridge,Validation,0.076,0.6415972743894843,0.49890781192778805,0.3922483427719236
Ridge,Validation,0.077,0.6415970189483298,0.4989079897187976,0.39224878647907474
Ridge,Validation,0.078,0.6415967634726005,0.4989081675338082,0.39224924415448886
Ridge,Validation,0.079,0.6415965079623243,0.4989083453728007,0.3922497146209344
Ridge,Validation,0.08,0.6415962524175316,0.49890852323575385,0.3922501849781167
Ridge,Validation,0.081,0.6415959968382471,0.49890870112265023,0.39225065522607233
Ridge,Validation,0.082,0.6415957412245004,0.4989088790334694,0.39225112536483653
Ridge,Validation,0.083,0.641595485576321,0.4989090569681909,0.39225159539444326
Ridge,Validation,0.084,0.6415952298937344,0.4989092349267966,0.39225206531492934
Ridge,Validation,0.085,0.6415949741767711,0.4989094129092656,0.39225253512632885
Ridge,Validation,0.08600000000000001,0.6415947184254571,0.4989095909155796,0.39225300482867764
Ridge,Validation,0.08700000000000001,0.6415944626398216,0.49890976894571837,0.39225347442201064
Ridge,Validation,0.08800000000000001,0.6415942068198924,0.49890994699966246,0.39225394390636315
Ridge,Validation,0.089,0.6415939509656966,0.49891012507739296,0.39225441328177046
Ridge,Validation,0.09,0.6415936950772627,0.49891030317888996,0.39225488254826774
Ridge,Validation,0.091,0.6415934391546196,0.49891048130413346,0.3922553517058894
Ridge,Validation,0.092,0.6415931831977946,0.4989106594531044,0.39225582075467136
Ridge,Validation,0.093,0.6415929272068153,0.49891083762578353,0.3922562896946483
Ridge,Validation,0.094,0.64159267118171,0.49891101582215097,0.3922567585258553
Ridge,Validation,0.095,0.6415924151225058,0.4989111940421881,0.3922572272483277
Ridge,Validation,0.096,0.6415921590292305,0.4989113722858753,0.39225769586210113
Ridge,Validation,0.097,0.6415919029019139,0.49891155055319203,0.392258164367209
Ridge,Validation,0.098,0.641591646740581,0.4989117288441207,0.392258632763688
Ridge,Validation,0.099,0.6415913905452624,0.4989119071586401,0.392259101051572
Ridge,Validation,0.1,0.6415911343159844,0.4989120854967317,0.3922595692308959
Ridge,Validation,0.101,0.6415908780527741,0.4989122638583768,0.3922600373016965
Ridge,Validation,0.10200000000000001,0.6415906217556608,0.49891244224355497,0.39226050526400663
Ridge,Validation,0.10300000000000001,0.6415903654246708,0.4989126206522479,0.39226097311786234
Ridge,Validation,0.10400000000000001,0.6415901090598322,0.498912799084436,0.3922614408632987
Ridge,Validation,0.10500000000000001,0.6415898526611741,0.4989129775400988,0.3922619085003494
Ridge,Validation,0.106,0.6415895962287212,0.49891315601921915,0.392262376029051
Ridge,Validation,0.107,0.6415893397625052,0.4989133345217752,0.39226284344943685
Ridge,Validation,0.108,0.641589083262551,0.4989135130477494,0.3922633107615426
Ridge,Validation,0.109,0.6415888267288865,0.49891369159712234,0.39226377796540335
Ridge,Validation,0.11,0.6415885701615397,0.49891387016987454,0.39226424506105373
Ridge,Validation,0.111,0.6415883135605377,0.498914048765987,0.39226471204852853
Ridge,Validation,0.112,0.6415880569259083,0.4989142273854405,0.3922651789278628
Ridge,Validation,0.113,0.6415878002576805,0.49891440602821474,0.39226564569909017
Ridge,Validation,0.114,0.6415875435558798,0.49891458469429184,0.3922661123622469
Ridge,Validation,0.115,0.6415872868205348,0.4989147633836521,0.3922665789173669
Ridge,Validation,0.116,0.6415870300516724,0.4989149420962767,0.3922670453644855
Ridge,Validation,0.117,0.6415867732493203,0.4989151208321461,0.39226751170363694
Ridge,Validation,0.11800000000000001,0.6415865164135075,0.4989152995912405,0.3922679779348557
Ridge,Validation,0.11900000000000001,0.6415862595442587,0.4989154783735424,0.3922684440581776
Ridge,Validation,0.12000000000000001,0.6415860026416031,0.49891565717903147,0.3922689100736361
