Model,Train_set,Test_set,R²,RMSE,MAE,MAPE
Single Dummy,dft,dft,-0.00016154001506496485,0.8560183030392349,0.7320512638396205,1486.0879028780635
Single Dummy,dft,exp,-0.013273967369159534,0.7978431205010101,0.6788237539700983,179.05832023171232
Single Dummy,dft,mix,-0.00033012922069897144,0.8327631158791723,0.7112385518113977,1007.232877299419
Single Ridge,dft,dft,0.3290673469266865,0.701112063754893,0.5741265673542514,1148.4562917289566
Single Ridge,dft,exp,0.1969767552175976,0.710261248618861,0.5691008025537106,101.5892762493678
Single Ridge,dft,mix,0.28376388304814393,0.7046572346572936,0.5747403619582196,1161.5812024503014
Single KernelRidge,dft,dft,0.6097309629918052,0.5347244272188333,0.3935926305236717,855.5968298258304
Single KernelRidge,dft,exp,0.1017044087631308,0.751214040021931,0.6005314298278092,72.07292441246044
Single KernelRidge,dft,mix,0.40633698659870565,0.6415341842316424,0.4906014960232863,949.2898227279765
Single SVR,dft,dft,0.5967489431580926,0.5435452848595965,0.3872301488329435,892.0996922057876
Single SVR,dft,exp,0.0320460836744626,0.7797967175583278,0.6211444617417062,75.68285920487253
Single SVR,dft,mix,0.3658296780903031,0.6630598997398462,0.49775817597604427,1067.8518103981482
Single RandomForest,dft,dft,0.6547835193821929,0.5029140119772686,0.3739680021572558,874.1647059394141
Single RandomForest,dft,exp,0.24631845788753504,0.6880943657893062,0.5533747577224262,76.57968693245043
Single RandomForest,dft,mix,0.47911169144575483,0.6009275451223764,0.46564827225234046,857.6727140516772
Single ExtraRandomTrees,dft,dft,0.6754335369865692,0.4876405326119628,0.3535193270230608,813.2867555682808
Single ExtraRandomTrees,dft,exp,0.21796994489177923,0.7009156939569329,0.5639606252706554,73.9542696970708
Single ExtraRandomTrees,dft,mix,0.4856504668272543,0.5971438744903085,0.4567722843048434,741.319163894669
Single GBR,dft,dft,0.6843963023827262,0.48086040395693147,0.345399139936764,830.0932793653976
Single GBR,dft,exp,0.16247334233484823,0.7253596307653508,0.5793398003553545,73.46303721444643
Single GBR,dft,mix,0.46617207409692496,0.6083457119886445,0.45792297818236594,821.84212752072
Single LightGBM,dft,dft,0.6742178072915588,0.48855295738614013,0.3505609220353501,844.2359476065919
Single LightGBM,dft,exp,0.18159280624684992,0.717032401525597,0.5684932358684415,70.9269493509607
Single LightGBM,dft,mix,0.47026909536269146,0.606006750486285,0.4515268192878567,778.6926118243354
Single XGBoost,dft,dft,0.6858566329828903,0.4797466189193563,0.34307539633036177,923.1345057197909
Single XGBoost,dft,exp,0.18783557658034566,0.7142924222454853,0.5691272156011855,71.68699390359713
Single XGBoost,dft,mix,0.4760266948976277,0.6027044352620169,0.4531302087771778,945.1502661365449
Single Dummy,exp,exp,-0.030241483552262638,0.8044954249391086,0.6858940238107232,185.24853150453959
Single Dummy,exp,dft,-0.0017334491693763443,0.8566907217785557,0.7321911935428377,1533.456113825203
Single Dummy,exp,mix,-0.005481374672300587,0.834904538332521,0.713114858697295,1039.4597994291591
Single Ridge,exp,exp,0.4911616382771027,0.5653846129882145,0.4227235686005352,94.54061289663319
Single Ridge,exp,dft,-516.1284285516906,19.464676140747166,1.9580209321501552,2209.5419495509746
Single Ridge,exp,mix,-162.60069420516908,10.649822703002119,0.960183597419694,2180.1198519330783
Single KernelRidge,exp,exp,0.7062303049386586,0.4295933582636669,0.3075654466796522,54.07667975358152
Single KernelRidge,exp,dft,-0.07381050850232485,0.8869758604382246,0.6974836577054131,1726.74066479449
Single KernelRidge,exp,mix,0.3420549123799015,0.6753744564540267,0.4838961599745137,1416.3909457297025
Single SVR,exp,exp,0.6425990160007118,0.47384023392580044,0.3330553218644043,54.77529731021335
Single SVR,exp,dft,-0.22344102587884263,0.9467591158174065,0.7382787248760436,1754.7338860495838
Single SVR,exp,mix,0.2292122796854782,0.7309997025413668,0.5231389264261652,1514.223348708018
Single RandomForest,exp,exp,0.7208768465556699,0.41874727472244827,0.3056038925031117,62.10745084865157
Single RandomForest,exp,dft,0.07042301453951871,0.8252597367056703,0.6539065292660957,1608.468162387474
Single RandomForest,exp,mix,0.40572324531018067,0.6418657143231299,0.4685375179775865,1260.8695719268562
Single ExtraRandomTrees,exp,exp,0.7449336258863231,0.4002954616836077,0.2858671363221466,57.7237822807893
Single ExtraRandomTrees,exp,dft,0.06524389140899145,0.8275555040732789,0.6558020007999478,1642.4596626782325
Single ExtraRandomTrees,exp,mix,0.4165559950407556,0.6359886973306701,0.45927339659643995,1241.6630837984721
Single GBR,exp,exp,0.7381760691045574,0.40556337783508006,0.29095192553535365,58.22800071334443
Single GBR,exp,dft,-0.021980586657394996,0.8653051701399521,0.684449902790235,1654.2154376727985
Single GBR,exp,mix,0.37694362640564893,0.6572240966847835,0.4746855841086717,1238.1981816199986
Single LightGBM,exp,exp,0.7336186980863053,0.4090778179071534,0.29679044927818266,52.717574388600006
Single LightGBM,exp,dft,-0.12033903879346375,0.9059885525760805,0.7036375429681436,1686.7662821800354
Single LightGBM,exp,mix,0.32521982465089827,0.6839604101227146,0.48773733120753104,1390.329577553634
Single XGBoost,exp,exp,0.7086342603506286,0.42783203857717794,0.307740473737574,55.84033173092058
Single XGBoost,exp,dft,-0.04523825968981354,0.8750958507302624,0.686793952680478,1549.058695576554
Single XGBoost,exp,mix,0.34739211320115637,0.6726295853003861,0.4844247360688704,1252.0508992455398
